CellName,goodcells,signicells,goodLLHcells,spatialcells,LLHi_vis,LLHi_pos,LLHrel,iPos_pval,posKernel_maxabs,overallResp_pval,LLHrel_omit,goodOmitcells
M26004_20260318_cell#106,1,1,1,1,0.0104899034568966,0.0115561944267264,1.10164926438182,6.59561779747797e-07,26.5196646186817,0,0.900918775136474,0
M26004_20260318_cell#107,1,1,1,1,0.0305911930270853,0.0326489516025685,1.0672663721765,1.06940833966007e-09,45.4039416211589,0,1.01517747918729,1
M26004_20260318_cell#108,0,0,0,0,0.0219189260661828,0.0182923860551907,0.834547550366198,1,0,0.999927663226619,0.92491688669259,0
M26004_20260318_cell#109,1,1,1,1,0.035184390117465,0.0410840351146757,1.16767790993433,0,26.6622081774834,0,1.00441312793079,0
M26004_20260318_cell#110,1,1,1,1,0.168438872164656,0.184573674225556,1.09579025229477,0,60.9263749667086,0,1.00470285291358,0
M26004_20260318_cell#111,1,1,1,1,0.0553092885389489,0.060664407003949,1.09682132253842,0,25.8935557353545,0,0.984477083865407,0
M26004_20260318_cell#112,1,1,1,1,0.0138476696575057,0.0165885866745406,1.19793344908031,0,28.1035219611887,0,0.969182588456416,0
M26004_20260318_cell#113,1,0,0,0,0.048651758529414,0.0462702167468104,0.951049214774759,1,0,0,0.956287717851224,0
M26004_20260318_cell#114,1,1,1,1,0.0628179473526787,0.0762436441175914,1.21372390106185,0,124.646979299081,0,0.99992159088314,0
M26004_20260318_cell#115,1,1,1,1,0.110169314967744,0.111871134728349,1.01544731181366,0,60.5817575147491,0,0.992557034632471,0
M26004_20260318_cell#116,1,1,1,1,0.0526068729642557,0.0717308109527785,1.36352546560821,0,65.7828419344334,0,1.00134986752149,0
M26004_20260318_cell#117,1,0,1,0,0.0557205882988342,0.0570668887933892,1.02416163460685,1,0,0,0.957791219021107,0
M26004_20260318_cell#118,1,1,1,1,0.0354555861448247,0.0406676387382855,1.14700229668102,0,60.6052908314494,0,0.972214888473935,0
M26004_20260318_cell#119,1,1,1,1,0.0424690429246056,0.0486721525872418,1.1460619132305,0,32.7827868216172,0,1.00142742811491,0
M26004_20260318_cell#120,1,1,1,1,0.0412299337707233,0.0533105750967891,1.29300656637591,0,79.6354141451577,0,0.977204566930768,0
M26004_20260318_cell#121,1,0,0,0,0.0102333827726203,0.0100570906392792,0.982772838927433,0.999998412612511,0,8.6299510870802e-09,0.93930214809581,0
M26004_20260318_cell#122,1,1,1,1,0.043918886304382,0.050880167787319,1.15850314224025,0,44.4947982384458,0,1.000510589606,0
M26004_20260318_cell#123,1,1,1,1,0.0155360628474331,0.0188253108625296,1.21171696120166,0,34.186191311379,0,0.939605573648329,0
M26004_20260318_cell#124,1,1,1,1,0.101678398489928,0.126806850713852,1.24713658551982,0,151.032283497281,0,0.982132539533893,0
M26004_20260318_cell#125,1,0,0,0,0.00605901339099167,0.00540748794022615,0.89247004277393,1,0,0,0.275451430014539,0
M26004_20260318_cell#126,1,0,0,0,0.068158021230438,0.0677443423964535,0.993930592078284,1,0,0,1.04098167664167,1
M26004_20260318_cell#127,1,1,1,1,0.0187786211441391,0.0206267385082685,1.09841603118481,4.44089209850063e-16,14.8560597813946,0,0.89290560542171,0
M26004_20260318_cell#128,1,1,1,1,0.0643387946393424,0.0823159879759926,1.27941451868073,0,44.1731055037872,0,0.957726821184569,0
M26004_20260318_cell#129,1,1,1,1,0.0291103933764887,0.0341514998243368,1.17317204830078,0,54.2509711242512,0,0.941624980776568,0
M26004_20260318_cell#130,1,1,1,1,0.0623284275931492,0.0688967389003565,1.10538227195594,0,41.5810322603651,0,0.974593731546842,0
M26004_20260318_cell#131,1,1,1,1,0.0250903510242855,0.0325669553292668,1.29798723412616,0,47.2576979067628,0,0.975317040464721,0
M26004_20260318_cell#132,1,1,1,1,0.0531655649815426,0.0707921783605921,1.33154191787803,0,91.7017810528497,0,0.995657433030178,0
M26004_20260318_cell#133,1,0,0,0,0.0165023581152193,0.0164594240669048,0.99739830828935,1,0,0,1.01617560786266,0
M26004_20260318_cell#134,1,0,1,0,0.0190519848216088,0.0195499317130226,1.02613622129538,0.053266778583098,0,0,0.944057583180206,0
